assay_chembl_id,document_chembl_id,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
CHEMBL623452,CHEMBL1148425,CHEMBL357278,=,=,% remaining,%,25.0,% remaining,%,25.0
CHEMBL623452,CHEMBL1148425,CHEMBL357119,=,=,% remaining,%,27.0,% remaining,%,27.0
CHEMBL623452,CHEMBL1148425,CHEMBL152968,=,=,% remaining,%,58.0,% remaining,%,58.0
CHEMBL623452,CHEMBL1148425,CHEMBL150984,=,=,% remaining,%,35.0,% remaining,%,35.0
CHEMBL623452,CHEMBL1148425,CHEMBL153102,=,=,% remaining,%,47.0,% remaining,%,47.0
CHEMBL623452,CHEMBL1148425,CHEMBL153426,=,=,% remaining,%,50.0,% remaining,%,50.0
CHEMBL623452,CHEMBL1148425,CHEMBL347797,=,=,% remaining,%,1.0,% remaining,%,1.0
CHEMBL623452,CHEMBL1148425,CHEMBL155166,=,=,% remaining,%,37.0,% remaining,%,37.0
CHEMBL623452,CHEMBL1148425,CHEMBL356634,=,=,% remaining,%,23.0,% remaining,%,23.0
CHEMBL623453,CHEMBL1148425,CHEMBL443040,,,Remaining,,,Remaining,%,
CHEMBL623452,CHEMBL1148425,CHEMBL153666,=,=,% remaining,%,28.0,% remaining,%,28.0
CHEMBL623452,CHEMBL1148425,CHEMBL152932,=,=,% remaining,%,15.0,% remaining,%,15.0
CHEMBL623453,CHEMBL1148425,CHEMBL346201,,,Remaining,,,Remaining,%,
CHEMBL623452,CHEMBL1148425,CHEMBL153502,=,=,% remaining,%,51.0,% remaining,%,51.0
CHEMBL623452,CHEMBL1148425,CHEMBL153650,=,=,% remaining,%,29.0,% remaining,%,29.0
CHEMBL623452,CHEMBL1148425,CHEMBL153160,=,=,% remaining,%,2.0,% remaining,%,2.0
CHEMBL623452,CHEMBL1148425,CHEMBL152844,=,=,% remaining,%,64.0,% remaining,%,64.0
CHEMBL623452,CHEMBL1148425,CHEMBL154927,=,=,% remaining,%,15.0,% remaining,%,15.0
CHEMBL623453,CHEMBL1148425,CHEMBL153448,,,Remaining,,,Remaining,%,
CHEMBL666245,CHEMBL1123360,CHEMBL290650,=,=,Inhibition,%,25.0,Inhibition,%,25.0
CHEMBL666246,CHEMBL1123360,CHEMBL290650,=,=,Inhibition,%,86.0,Inhibition,%,86.0
CHEMBL666244,CHEMBL1123360,CHEMBL290650,=,=,Inhibition,%,50.0,Inhibition,%,50.0
CHEMBL666242,CHEMBL1123360,CHEMBL290650,=,=,Inhibition,%,80.0,Inhibition,%,80.0
CHEMBL623453,CHEMBL1148425,CHEMBL153643,,,Remaining,,,Remaining,%,
CHEMBL623452,CHEMBL1148425,CHEMBL153667,=,=,% remaining,%,14.0,% remaining,%,14.0
CHEMBL623452,CHEMBL1148425,CHEMBL150561,=,=,% remaining,%,2.0,% remaining,%,2.0
CHEMBL623452,CHEMBL1148425,CHEMBL152961,=,=,% remaining,%,12.0,% remaining,%,12.0
CHEMBL623453,CHEMBL1148425,CHEMBL358007,,,Remaining,,,Remaining,%,
CHEMBL623452,CHEMBL1148425,CHEMBL345479,=,=,% remaining,%,34.0,% remaining,%,34.0
CHEMBL623453,CHEMBL1148425,CHEMBL153594,,,Remaining,,,Remaining,%,
CHEMBL666247,CHEMBL1123360,CHEMBL290591,=,=,Inhibition,%,45.0,Inhibition,%,45.0
CHEMBL666248,CHEMBL1123360,CHEMBL290591,=,=,Inhibition,%,89.0,Inhibition,%,89.0
CHEMBL666243,CHEMBL1123360,CHEMBL290591,=,=,Inhibition,%,98.0,Inhibition,%,98.0
CHEMBL666242,CHEMBL1123360,CHEMBL290591,=,=,Inhibition,%,82.0,Inhibition,%,82.0
CHEMBL623452,CHEMBL1148425,CHEMBL150464,=,=,% remaining,%,10.0,% remaining,%,10.0
CHEMBL623452,CHEMBL1148425,CHEMBL149470,=,=,% remaining,%,2.0,% remaining,%,2.0
CHEMBL666245,CHEMBL1123360,CHEMBL418249,=,=,Inhibition,%,32.0,Inhibition,%,32.0
CHEMBL666246,CHEMBL1123360,CHEMBL418249,=,=,Inhibition,%,89.0,Inhibition,%,89.0
CHEMBL666244,CHEMBL1123360,CHEMBL418249,=,=,Inhibition,%,55.0,Inhibition,%,55.0
